,astrazeneca_primera,astrazeneca_segunda,pfizer_primera,pfizer_segunda,sinopharm_primera,sinopharm_segunda,sputnikv_primera,sputnikv_segunda,janssen_única
2021-07-13,38701,5596,26520,25035,408556,181372,247002,2160,0
2021-07-14,38712,7450,26520,25070,409919,184156,265965,2160,0
2021-07-15,38702,9405,26520,25086,411059,193289,281530,2434,118
2021-07-16,38702,10051,26518,25128,411902,205684,294287,2618,6761
2021-07-17,38702,10178,26518,25128,412035,208120,296616,2618,12884
2021-07-18,38702,10924,26518,25128,412064,212609,302760,2672,17255
2021-07-19,38703,12275,26518,25128,412639,226773,315225,3452,25593
2021-07-20,38706,13452,26517,25140,413097,239005,326789,4607,37893
2021-07-21,38705,14605,26509,25144,413497,249013,337207,6196,51950
2021-07-22,38704,15786,26508,25156,413763,258702,345513,7565,66437
2021-07-23,38702,16546,26509,25162,413992,272999,353602,8463,76753
2021-07-24,38703,16823,26509,25162,414064,275427,355647,8463,80970
2021-07-25,38703,17204,26509,25168,414115,281079,359711,8470,85822
2021-07-26,38703,17946,26508,25174,414613,300603,366408,9127,96199
2021-07-27,38703,18590,26508,25186,416349,323358,372370,9399,108389
2021-07-28,38703,19289,26508,25192,419519,345326,376737,9446,116412
2021-07-29,38703,19737,26508,25198,421027,357166,380487,9462,124435
2021-07-30,38703,20049,26508,25198,423207,363251,383754,9462,128985
2021-07-31,38703,20135,26508,25198,424304,363843,384518,9462,130714
2021-08-01,38703,20298,26508,25204,424724,364852,386468,9462,134518
2021-08-02,38703,20602,26508,25210,428348,368912,389181,9464,141746
2021-08-03,38703,20814,26508,25220,430557,371615,390943,9464,148900
2021-08-05,38703,21104,26508,25230,436168,374868,392911,9465,159418
2021-08-06,38703,21123,26508,25230,436187,374934,392911,9465,159528
2021-08-07,38703,21123,26508,25230,436374,375077,392997,9465,161749
2021-08-08,38703,21183,26508,25230,437163,375303,393420,9465,164478
2021-08-09,38703,21287,26508,25230,440258,376759,394322,9531,169977
2021-08-10,38703,21368,26508,25230,442732,377799,395079,12627,175073
2021-08-11,38703,21458,26508,25299,445216,378602,395760,16540,178969
2021-08-12,38703,21570,26508,25329,447694,379296,396538,23560,186744
2021-08-13,38703,21665,26508,25348,452351,380197,397572,29925,193307
2021-08-14,38703,21665,26508,25348,453796,380286,397671,29935,196346
2021-08-15,38703,21685,26508,25348,456635,380415,397815,30121,198419
2021-08-16,38703,21795,26508,25360,460514,381111,398491,33038,206033
2021-08-17,38703,21955,26508,25396,464391,382441,399163,36888,211584
2021-08-18,38703,22884,26508,25468,467205,384946,400021,42620,217867
2021-08-19,38704,24217,26508,25498,469753,386897,400516,48798,224140
2021-08-20,38704,25314,26508,25522,472535,388975,400936,54703,229154
2021-08-21,38704,25602,26508,25522,473113,389392,401426,55338,229917
2021-08-22,38704,25684,26508,25552,474012,389763,401800,55721,232233
2021-08-23,38704,26788,26508,25564,476810,392444,402192,60961,237018
2021-08-24,38705,28711,26509,25618,481381,396391,403007,69646,246848
2021-08-25,38705,29239,26509,25654,485266,405339,404158,71654,256963
2021-08-26,38705,30507,26509,25695,489568,405996,422915,73530,262904
2021-08-27,38705,30634,26509,25731,497761,406035,422915,74030,268637
2021-08-28,38705,30634,26509,25731,501231,407781,422915,74030,277858
2021-08-29,38705,30641,26509,25731,505405,409454,422915,74030,286765
2021-08-30,38705,30660,26607,25740,506749,410666,422915,74030,306993
2021-08-31,38705,30905,26739,25740,513075,414547,422915,74030,317541
2021-09-01,38754,31284,26739,25740,513075,415096,422915,74030,317541
2021-09-03,38754,31839,26739,25740,513184,416863,422940,74059,317732
2021-09-04,38754,31882,26739,25740,513232,418564,422954,74064,317830
2021-09-05,38754,31882,26739,25740,513246,419711,422954,74064,317835
2021-09-06,38754,32092,26739,25740,513312,422924,422954,74064,317869
2021-09-07,38754,32210,26740,25740,513364,426479,422954,74064,317910
2021-09-08,38751,32309,26739,25738,513416,429110,422954,78719,317997
2021-09-09,38751,32421,26739,25731,514596,433811,422602,81328,314997
2021-09-10,38750,32525,26739,25724,516177,437003,422222,82476,315022
2021-09-11,38750,32695,26739,25722,516327,437636,422214,82489,315025
2021-09-12,38750,32695,26739,25722,516521,438073,422198,82493,315025
2021-09-14,38750,32910,26739,25722,519729,443494,421438,83066,315035
2021-09-15,38750,33142,26739,25691,521181,446095,421108,83237,315040
2021-09-18,38750,33435,26739,25684,523887,449752,420018,83397,315055
2021-09-20,38750,33569,26739,25816,525090,452214,418956,92676,315065
