,astrazeneca_primera,astrazeneca_segunda,pfizer_primera,pfizer_segunda,sinopharm_primera,sinopharm_segunda,sputnikv_primera,sputnikv_segunda,janssen_única
2021-07-13,8040,4202,8750,8226,65645,34430,42541,714,0
2021-07-14,8042,4579,8750,8241,67139,34494,42541,744,0
2021-07-15,8043,5206,8750,8265,68791,34610,42541,783,0
2021-07-16,8043,5931,8771,8271,70773,35133,42541,1058,0
2021-07-17,8043,6165,8771,8271,71226,35521,42542,1627,0
2021-07-18,8043,6165,8771,8271,71440,35563,42543,1650,0
2021-07-19,8043,6328,8819,8271,73285,36660,42543,1842,0
2021-07-20,8044,6413,8868,8271,74600,37783,42543,1855,0
2021-07-21,8044,6500,8919,8271,75895,39225,42543,1891,0
2021-07-22,8046,6581,8933,8272,77178,40843,42545,1911,0
2021-07-23,8046,6622,8947,8272,78558,43294,42545,1921,0
2021-07-24,8046,6742,8947,8272,79004,43800,42546,1930,45
2021-07-25,8046,6742,8947,8272,79339,43997,42546,1930,45
2021-07-26,8046,6774,8949,8278,81092,47039,42546,1930,45
2021-07-27,8046,6899,8949,8278,82451,49611,42546,1934,71
2021-07-28,8046,6914,8949,8278,83474,51333,42546,1934,340
2021-07-29,8046,6928,8949,8278,84221,52449,42556,1934,454
2021-07-30,8046,6937,8949,8278,84950,53640,42573,1934,516
2021-07-31,8046,6941,8949,8278,85310,54036,42573,1934,536
2021-08-01,8046,6941,8949,8284,85317,54051,42573,1934,542
2021-08-02,8046,6952,8949,8284,86397,55542,42573,1934,609
2021-08-03,8046,6953,8949,8284,87096,56565,42617,1934,709
2021-08-05,8050,6974,8949,8377,88219,58217,42859,1934,1221
2021-08-06,8050,6974,8949,8377,88249,58283,42859,1934,1257
2021-08-07,8050,6974,8949,8377,88319,58452,42859,1934,1306
2021-08-08,8050,6974,8949,8377,88323,58482,42859,1934,1361
2021-08-09,8050,6975,8949,8377,88907,60376,43055,1934,1827
2021-08-10,8050,6978,8949,8377,89253,61611,43324,2155,2814
2021-08-11,8050,6980,8949,8377,89510,62254,43539,4701,3791
2021-08-12,8050,6983,8949,8377,89745,62958,43851,5352,5146
2021-08-13,8050,6997,8949,8377,89967,64025,44216,5657,6939
2021-08-14,8050,7006,8949,8377,90037,64224,44358,5683,7471
2021-08-15,8050,7006,8949,8377,90039,64257,44362,5683,8184
2021-08-16,8050,7008,8949,8377,90317,65472,44688,5763,9609
2021-08-17,8050,7008,8949,8377,90621,66518,45010,6454,10820
2021-08-18,8050,7026,8949,8377,90981,67606,45426,9704,12202
2021-08-19,8050,7046,8949,8377,91321,68576,45824,11533,13482
2021-08-20,8050,7064,8949,8377,91564,69387,46188,12707,14481
2021-08-21,8050,7064,8949,8377,91612,69515,46270,12748,14756
2021-08-22,8050,7064,8949,8377,91618,69535,46270,12752,15095
2021-08-23,8050,7074,8949,8377,91897,70436,46622,13272,15737
2021-08-24,8050,7094,8949,8377,92410,72105,47385,15270,17430
2021-08-25,8050,7098,8949,8377,92799,75183,47994,14033,19020
2021-08-26,8050,7784,8949,8398,94897,75889,48241,14086,19351
