,astrazeneca_primera,astrazeneca_segunda,pfizer_primera,pfizer_segunda,sinopharm_primera,sinopharm_segunda,sputnikv_primera,sputnikv_segunda,janssen_única
2021-07-13,47663,6204,0,0,32548,25201,18184,599,0
2021-07-14,47854,6789,0,0,32888,25438,18581,599,0
2021-07-15,48104,7378,0,0,33331,25676,19011,634,0
2021-07-16,48178,7717,0,0,33792,25879,19478,635,0
2021-07-17,48222,7758,0,0,33870,25952,19553,635,0
2021-07-18,48338,7762,0,0,33908,25973,19554,635,0
2021-07-19,48467,8157,0,0,34371,26200,19879,725,0
2021-07-20,48504,8591,0,0,34917,26411,20256,925,0
2021-07-21,48547,8949,0,0,35564,26608,20631,1182,0
2021-07-22,48563,9371,0,0,36046,26856,20923,1405,0
2021-07-23,48562,9917,0,0,36509,27121,21246,1589,0
2021-07-24,48563,9926,0,0,36583,27141,21292,1591,0
2021-07-25,48563,9926,0,0,36617,27143,21311,1591,0
2021-07-26,48601,10887,0,0,37046,27372,21623,1903,0
2021-07-27,48616,11708,0,0,37570,27775,22037,2340,0
2021-07-28,48617,12006,0,0,37846,28013,22371,2374,0
2021-07-29,48619,12194,0,0,38067,28192,22619,2374,0
2021-07-30,48619,12271,0,0,38369,28408,22902,2380,0
2021-07-31,48621,12281,0,0,38378,28425,22902,2380,0
2021-08-01,48621,12281,0,0,38378,28426,22902,2380,0
2021-08-02,48624,12359,0,0,38713,28613,23022,2382,2
2021-08-03,48625,12362,0,0,38989,28750,23197,2384,2
2021-08-05,48625,12371,0,0,39647,28985,23309,2384,12
2021-08-06,48625,12371,0,0,39651,28988,23309,2384,12
2021-08-07,48625,12371,0,0,39659,28999,23309,2384,12
2021-08-08,48625,12371,0,0,39659,28999,23309,2384,12
2021-08-09,48630,12383,0,0,39979,29244,23335,2385,18
2021-08-10,48630,12397,0,0,40292,29455,23380,2929,36
2021-08-11,48630,12403,0,0,40527,29610,23389,3559,51
2021-08-12,48630,12429,0,0,40795,29801,23397,4021,120
2021-08-13,48630,12429,0,0,41197,29921,23404,4282,195
2021-08-14,48630,12430,0,0,41209,29970,23404,4282,195
2021-08-15,48630,12430,0,0,41210,29970,23404,4282,195
2021-08-16,48630,12457,0,0,41572,30230,23461,4624,277
2021-08-17,48630,12873,0,0,42012,30468,23464,4867,406
2021-08-18,48637,14383,0,0,42563,30684,23480,5055,568
2021-08-19,48640,15102,0,0,43013,30855,23487,5191,646
2021-08-20,48641,16361,0,0,43439,31245,23492,5289,827
2021-08-21,48641,16381,0,0,43450,31251,23492,5289,832
2021-08-22,48641,16381,0,0,43459,31286,23492,5289,832
2021-08-23,48643,17551,0,0,43859,31506,23493,5509,1035
2021-08-24,48648,19089,0,0,44578,31918,23502,5824,1299
2021-08-25,48648,19923,0,0,45211,32378,23543,6390,1498
2021-08-26,48825,21029,0,0,45810,32691,24001,6607,1639
2021-08-27,48826,21664,0,0,46570,33432,24001,6607,1816
2021-08-28,48826,21664,0,0,46634,33611,24001,6607,1851
2021-08-29,48826,21664,0,0,46697,33731,24001,6607,1852
2021-08-30,48827,22431,0,0,50448,34185,24001,6841,2027
2021-08-31,49054,23831,0,0,50834,34682,24001,7072,2153
2021-09-01,49093,24238,0,0,51367,35301,24001,7133,2587
2021-09-03,49125,25253,0,0,52199,36353,24001,7423,3201
2021-09-04,49132,25574,0,0,52506,36763,24001,7428,3420
2021-09-05,49132,25574,0,0,52531,36817,24001,7428,3420
2021-09-06,49139,26058,0,0,52881,37288,24001,7599,3706
2021-09-08,49155,26749,0,0,53921,38575,24001,7732,4013
