,astrazeneca_primera,astrazeneca_segunda,pfizer_primera,pfizer_segunda,sinopharm_primera,sinopharm_segunda,sputnikv_primera,sputnikv_segunda,janssen_única
2021-07-13,45094,10140,29504,26938,315717,169789,190805,1961,0
2021-07-14,45108,12592,29522,27094,318983,170803,198786,1980,182
2021-07-15,45126,15198,29517,27413,322387,173171,207463,2055,493
2021-07-16,45127,15311,29517,27237,322756,173448,207490,2062,532
2021-07-17,45127,15483,29517,27237,323272,174720,208888,2081,569
2021-07-18,45127,15700,29517,27237,323708,175329,219089,2082,656
2021-07-19,45161,19381,29517,27300,326030,182154,226375,2678,1077
2021-07-20,45165,21744,29549,27338,328021,188435,232767,3469,1528
2021-07-21,45175,24294,29566,27381,330028,194234,240500,4264,2207
2021-07-22,45196,26824,29579,27394,332467,202574,245349,5049,4517
2021-07-23,45204,28003,29584,27696,334287,214334,249089,5385,8125
2021-07-24,45204,28111,29586,27700,335246,216418,249577,5465,11028
2021-07-25,45202,28180,29586,27700,335688,217911,249768,5466,22298
2021-07-26,45213,30353,29588,27727,337653,228434,250810,6234,27974
2021-07-27,45238,32341,29599,27775,339668,239987,251547,6518,35893
2021-07-28,45241,33613,29648,27784,340500,249657,252177,6697,43950
2021-07-29,45241,34543,29697,27785,340948,257451,252572,6858,50457
2021-07-30,45241,34892,29698,27796,341380,266567,252949,6886,56461
