,astrazeneca_primera,astrazeneca_segunda,pfizer_primera,pfizer_segunda,sinopharm_primera,sinopharm_segunda,sputnikv_primera,sputnikv_segunda,janssen_única
2021-07-13,10153,1193,0,0,65634,36826,43294,822,0
2021-07-14,10154,1715,0,0,67448,37106,43504,822,0
2021-07-15,10155,2099,0,0,68917,37520,43628,822,0
2021-07-16,10155,2275,0,0,70821,38061,43692,822,0
2021-07-17,10159,2381,0,0,71514,38192,43746,822,0
2021-07-18,10161,2393,0,0,72250,38467,43746,822,0
2021-07-19,10160,2894,0,0,74077,39148,43819,843,0
2021-07-20,10160,3256,0,0,75863,39966,43883,875,0
2021-07-21,10160,3715,0,0,77464,40691,43927,1000,178
2021-07-22,10160,4205,0,0,78703,41354,44072,1344,1027
2021-07-23,10160,4403,0,0,79904,42454,44180,1661,3075
2021-07-24,10160,4539,0,0,80475,42965,44190,1668,3659
2021-07-25,10163,4629,0,0,80922,43142,44190,1711,3962
2021-07-26,10164,4913,0,0,81795,44730,44230,1962,4514
2021-07-27,10167,5304,0,0,82996,46976,44249,2042,5569
2021-07-28,10168,5498,0,0,83384,48323,44265,2098,6238
2021-07-29,10168,5638,0,0,83621,49177,44279,2108,6729
2021-07-30,10168,5715,0,0,83858,50623,44325,2109,7875
2021-07-31,10168,5747,0,0,83939,51150,44333,2109,8518
2021-08-01,10168,5751,0,0,83960,51227,44333,2109,8557
2021-08-02,10168,5838,0,0,84169,51907,44347,2109,9133
