,astrazeneca_primera,astrazeneca_segunda,pfizer_primera,pfizer_segunda,sinopharm_primera,sinopharm_segunda,sputnikv_primera,sputnikv_segunda,janssen_única
2021-07-13,31823,16070,17586,16828,239461,128666,148923,1664,0
2021-07-14,31825,17450,17589,16849,241051,130042,156553,1664,0
2021-07-15,31826,18498,17591,16859,242301,134582,162270,1664,0
2021-07-16,31832,19037,17593,16869,243832,140791,168536,1667,0
2021-07-17,31835,19254,17593,16869,244146,141051,171832,1667,0
2021-07-18,31836,19347,17593,16869,244742,141183,175770,1667,0
2021-07-19,31837,20112,17597,16877,246387,146311,180869,1972,0
2021-07-20,31837,20711,17597,16883,248350,150404,185633,2453,0
2021-07-21,31837,21435,17597,16889,252266,154757,187606,3363,0
2021-07-22,31838,22015,17604,16893,256727,162811,188896,3989,0
2021-07-23,31842,22358,17609,16901,261599,173605,189147,4224,0
2021-07-24,31853,22590,17609,16901,263453,176232,189185,4228,0
2021-07-25,31854,22798,17609,16901,265703,176820,189185,4228,0
2021-07-26,31846,23308,17615,16913,270884,186524,189210,4456,0
2021-07-27,31847,23815,17622,16919,276380,195066,189226,4843,73
2021-07-28,31847,24336,17626,16928,279065,202762,189226,5281,5562
2021-07-29,31847,24653,17626,16928,281228,210048,189240,5366,14207
2021-07-30,31852,24850,17632,16932,282455,214051,189242,5377,23795
2021-07-31,31852,24917,17632,16932,282771,214552,189242,5377,26798
2021-08-01,31852,24939,17632,16932,282933,214758,189242,5377,31408
2021-08-02,31852,25014,17636,16946,284194,216777,189244,5500,40856
2021-08-03,31852,25070,17637,16951,286240,218076,189244,5716,46635
2021-08-05,31854,25263,17639,16963,290569,220689,189245,5799,57212
2021-08-06,31854,25264,17639,16964,290623,220867,189245,5799,57341
2021-08-07,31854,25298,17639,16964,291364,221165,189245,5799,58118
2021-08-08,31854,25304,17639,16964,292087,221536,189245,5799,60089
2021-08-09,31854,25360,17639,16976,294096,223318,189245,5800,66188
2021-08-10,31854,25435,17639,16982,295778,225067,189245,7961,71188
2021-08-11,31855,25534,17640,16994,297171,227668,189250,13766,75565
2021-08-12,31855,25594,17641,16998,298477,230850,189253,22396,79790
2021-08-13,31855,25619,17642,17010,300253,234942,189253,25472,84223
2021-08-14,31855,25659,17642,17010,300589,235982,189253,25524,85339
2021-08-15,31855,25686,17642,17010,301218,236865,189253,25524,86637
2021-08-16,31855,25739,17642,17022,302774,241057,189258,34851,90102
2021-08-17,31855,25798,17644,17039,304494,245281,189258,41189,93245
2021-08-18,31858,25846,17647,17042,306551,248264,189258,44085,96014
2021-08-19,31858,25930,17647,17042,308738,250944,189258,44856,98478
2021-08-20,31859,25985,17650,17051,310968,253047,189284,45102,101138
2021-08-21,31859,26022,17650,17051,311469,253385,189284,45126,101792
2021-08-22,31859,26032,17650,17051,312353,253645,189284,45126,102753
2021-08-23,31859,26050,17650,17051,314323,255252,189284,45906,105182
2021-08-24,31859,26151,17650,17057,318240,259747,189284,47017,109660
2021-08-25,31859,26270,17651,17067,321433,269955,189299,50929,115936
2021-08-26,31860,27613,17652,17084,325514,272408,195553,51485,118318
2021-08-27,31865,27715,17652,17107,329319,272501,195553,51485,120186
2021-08-28,31865,27886,17652,17107,332818,273869,195553,51485,124117
2021-08-29,31865,28424,17652,17107,336416,274908,195553,51485,128173
2021-08-30,31865,28842,17653,17107,337983,275388,195553,51485,130022
2021-08-31,31865,28910,17653,17107,343789,278407,195553,51485,134515
2021-09-01,31884,29300,17654,17107,343789,278407,195553,51485,136315
2021-09-03,31887,29512,17656,17107,343865,280079,195553,51778,139057
2021-09-04,31887,29542,17656,17107,343926,280720,195553,51792,140025
2021-09-05,31887,29549,17656,17107,343926,280833,195553,51792,140321
2021-09-06,31887,29624,17656,17107,343948,282826,195553,51825,141719
2021-09-07,31887,29657,17656,17116,343993,284984,195553,57268,142733
2021-09-08,31886,29702,17656,17116,345496,287333,194853,57259,143623
2021-09-09,31890,29740,17656,17123,346196,289551,194242,57370,144504
2021-09-10,31893,29783,17656,17129,347190,291558,193522,57393,145540
2021-09-11,31894,29798,17656,17129,347341,291833,193372,57393,145849
2021-09-12,31894,29798,17656,17129,347371,292135,193346,57393,146150
2021-09-14,31885,29871,17656,17129,349191,294907,191546,57421,147959
2021-09-15,31885,29953,17657,17135,350061,297418,190696,57448,148745
2021-09-18,31884,30057,17657,17142,353117,302063,189821,57531,150212
2021-09-20,31881,30128,17656,17142,354432,304054,189845,69797,151651
2021-09-23,32498,30287,17656,17148,357377,308696,189905,102249,153039
2021-09-24,33546,30335,17656,17171,357771,310316,189920,106896,153477
2021-09-25,33906,30335,17656,17171,357794,310600,189920,107904,153691
2021-09-26,34114,30340,17656,17171,357813,310640,189920,108020,154014
2021-09-27,35705,30408,17668,17171,358256,312593,189927,110512,154948
2021-09-29,38968,30604,17721,17182,358737,315965,189936,113755,156278
